Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RaspberryPi_Pico,RaspberryPi_Pico_Common_Unspecified,60.075,-62.385,0.0,top
C1,0.1uF,C_0603_1608Metric,100.0,-57.2,-90.0,top
C10,470uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,97.0,-101.72,90.0,bottom
C11,0.1uF,C_0603_1608Metric,100.0,-117.22,-90.0,top
C12,470uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,97.0,-113.72,90.0,bottom
C13,0.1uF,C_0603_1608Metric,100.0,-129.22,-90.0,top
C14,470uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,97.0,-125.72,90.0,bottom
C17,0.1uF,C_0603_1608Metric,45.0,-75.725,-90.0,top
C18,0.1uF,C_0603_1608Metric,45.0,-64.275,-90.0,top
C19,0.1uF,C_0603_1608Metric,74.0,-58.225,-90.0,top
C2,470uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,97.0,-53.7,90.0,bottom
C20,0.1uF,C_0603_1608Metric,74.0,-47.725,-90.0,top
C21,0.1uF,C_0603_1608Metric,44.5,-92.225,90.0,top
C22,0.1uF,C_0603_1608Metric,75.5,-121.5,0.0,top
C23,0.1uF,C_0603_1608Metric,54.5,-107.75,0.0,top
C24,0.1uF,C_0603_1608Metric,70.0,-120.225,-90.0,top
C25,1000uF,C_Radial_D12.5mm_H20.0mm_P5.00mm,69.5,-121.0,180.0,bottom
C26,0.1uF,C_0603_1608Metric,69.5,-127.7625,90.0,top
C27,0.1uF,C_0603_1608Metric,75.5,-64.5,180.0,top
C28,0.1uF,C_0603_1608Metric,77.5,-38.0,-90.0,top
C29,0.1uF,C_0603_1608Metric,79.5,-75.0,180.0,top
C3,0.1uF,C_0603_1608Metric,100.0,-69.2,-90.0,top
C30,0.1uF,C_0603_1608Metric,74.5,-131.0,0.0,top
C31,0.1uF,C_0603_1608Metric,100.0,-45.325,-90.0,top
C32,470uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,97.0,-41.825,90.0,bottom
C4,470uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,97.0,-65.7,90.0,bottom
C5,0.1uF,C_0603_1608Metric,100.0,-81.22,-90.0,top
C6,470uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,97.0,-77.72,90.0,bottom
C7,0.1uF,C_0603_1608Metric,100.0,-93.22,-90.0,top
C8,470uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,97.0,-89.72,90.0,bottom
C9,0.1uF,C_0603_1608Metric,100.0,-105.22,-90.0,top
D1,ESD9L5.0ST5G,D_SOD-923,100.5,-53.7,180.0,top
D10,LED,LED_0805_2012Metric,36.5,-51.5,90.0,top
D11,ESD9L5.0ST5G,D_SOD-923,100.5,-41.825,180.0,top
D12,SS34,D_SMA,93.2,-34.2,180.0,top
D2,ESD9L5.0ST5G,D_SOD-923,100.5,-65.7,180.0,top
D3,ESD9L5.0ST5G,D_SOD-923,100.5,-77.72,180.0,top
D4,ESD9L5.0ST5G,D_SOD-923,100.5,-89.72,180.0,top
